country,injuries,new_cases,death,recover
بولينيزيا,"46,334",0,636,0
مدغشقر,"45,794",0,980,"43,393"
مارتينيك,"45,501",0,718,104
السودان,"45,112",0,"3,252","36,009"
مالطا,"40,892",168,471,"38,545"
موريتانيا,"39,878",0,852,"38,502"
غيانا,"38,618",0,"1,024","36,784"
الرأس الأخضر,"38,509",0,351,"38,075"
الغابون,"37,626",0,285,"34,522"
بابوا غينيا الجديدة,"35,962",0,587,"35,121"
بليز,"31,152",0,586,"29,862"
غينيا,"30,814",0,388,"29,776"
بربادوس,"26,949",0,253,"24,837"
توغو,"26,416",0,243,"25,947"
جمهورية تنزانيا,"26,309",0,734,0
هايتي,"25,865",0,762,"22,276"
بنين,"24,897",0,161,"24,546"
سيشيل,"23,806",0,129,"23,294"
Lesotho,"23,223",0,664,"13,860"
الصومال,"23,074",0,"1,333","12,817"
جزر الباهاما,"22,907",0,708,"21,659"
موريشيوس,"22,710",0,680,"21,043"
مايوت,"21,129",0,185,"2,964"
جزر القنال,"20,996",0,107,"19,148"
بوروندي,"20,886",0,38,773
أندورا,"20,136",0,134,"17,885"
أيسلندا,"19,861",153,36,"18,416"
تيمور الشرقية,"19,830",0,122,"19,704"
الكونغو,"19,066",0,359,"12,421"
مالي,"18,718",0,633,"15,578"
كوراساو,"17,618",0,182,"17,298"
نيكاراغوا,"17,391",0,210,"4,225"
Tajikistan,"17,095",0,124,"16,966"
تايوان,"16,759",7,849,"15,706"
بوركينا فاسو,"16,672",0,296,"15,926"
أروبا,"16,646",0,178,"16,241"
بروناي,"15,372",9,98,"15,046"
غينيا الإستوائية,"13,612",0,175,"13,386"
جيبوتي,"13,514",0,189,"13,299"
نيوزيلاندا,"13,143",76,47,"6,193"
سانت لوسيا,"13,105",0,283,"12,745"
جنوب السودان,"12,904",0,133,"12,576"
جزيرة مان,"12,731",0,67,"11,919"
هونج كونج,"12,497",1,213,"12,180"
كاليدونيا الجديدة,"12,421",21,280,"11,976"
جمهورية افريقيا الوسطى,"11,961",0,101,"6,859"
Yemen,"10,075",0,"1,972","6,949"
غامبيا,"10,045",0,342,"9,645"
جزر كايمان,"8,007",47,9,"4,550"
إريتريا,"7,675",0,64,"7,449"
جبل طارق,"7,589",0,100,"7,240"
النيجر,"7,170",0,269,"6,879"
سان مارينو,"6,600",0,94,"5,978"
غينيا بيساو,"6,450",0,149,"6,285"
Sierra Leone,"6,423",0,121,0
دومينيكا,"6,257",0,42,"5,820"
غرينادا,"5,915",0,200,"5,665"
ليبيريا,"5,844",0,287,"5,535"
برمودا,"5,784",0,106,"5,643"
س. فنسنت,"5,723",0,77,"5,111"
تشاد,"5,701",0,181,"4,874"
ليختنشتاين,"5,472",67,68,"5,041"
سينت مارتن,"4,656",0,75,"4,535"
Comoros,"4,576",4,151,"4,390"
جزر فاروس,"4,477",0,13,"4,040"
أنتيغوا وبربودا,"4,177",0,117,"4,033"
موناكو,"4,160",0,36,"3,915"
سانت مارتن,"3,973",0,56,"1,399"
Sao Tome and Principe,"3,733",0,57,"3,675"
الجزر الكاريبية الهولندية,"3,156",0,22,"2,996"
جزر توركس وكايكوس,"3,141",0,25,"3,072"
جزر العذراء,"2,842",0,39,0
سانت كيتس ونيفيس,"2,796",0,28,"2,758"
بوتان,"2,652",0,3,"2,629"
الأرض الخضراء,"1,876",0,0,"1,606"
س. بارتيليمي,"1,603",0,6,0
أنغويلا,"1,592",0,4,"1,521"
باخرة DP,712,0,13,699
Wallis and Futuna,454,0,7,438
Saint Pierre Miquelon,96,0,0,74
جزر فوكلاند,83,0,0,0
ماكاو,77,0,0,77
مونتسرات,44,0,1,42
الفاتيكان,27,0,0,27
Solomon Islands,20,0,0,20
الصحراء الغربية,10,0,1,8
إم إس زاندام,9,0,2,7
Palau,8,0,0,8
Vanuatu,6,0,1,5
Marshall Islands,4,0,0,4
Samoa,3,0,0,3
Saint Helena,2,0,0,2
Micronesia,1,0,0,1
Tonga,1,0,0,1
الصين,"99,923",67,"4,636","93,827"
